unicode,ascii,description
"ليهمابتكلموشعربي؟","xn--egbpdaj6bu4bxfgehfvwxn","Arabic (Egyptian)"
"他们为什么不说中文","xn--ihqwcrb4cv8a8dqg056pqjye","Chinese (simplified)"
"他們爲什麽不說中文","xn--ihqwctvzc91f659drss3x8bo0yb","Chinese (traditional)"
"Pročprostěnemluvíčesky","xn--Proprostnemluvesky-uyb24dma41a","Czech"
"למההםפשוטלאמדבריםעברית","xn--4dbcagdahymbxekheh6e0a7fei0b","Hebrew"
"यहलोगहिन्दीक्योंनहींबोलसकतेहैं","xn--i1baa7eci9glrd9b2ae1bj0hfcgg6iyaf8o0a1dig0cd","Hindi (Devanagari)"
"なぜみんな日本語を話してくれないのか","xn--n8jok5ay5dzabd5bym9f0cm5685rrjetr6pdxa","Japanese (hiragana)"
"世界中の人々が日本語を話せるようになってほしい","xn--u6jygfx0dwa1dya8aj2a8nngqb5gq078cglat8f071p4lfot0gyh7es3a","Japanese (kanji)"
"세계의모든사람들이한국어를이해한다면얼마나좋을까","xn--989aomsvi5e83db1d2a355cv1e0vak1dwrv93d5xbh15a0dt30a5jpsd879ccm6fea98c","Korean (Hangul syllables)"
"почемужеонинеговорятпорусски","xn--b1abfaaepdrnnbgefbadotcwatmq2g4l","Russian (Cyrillic)"
"PorquénopuedensimplementehablarenEspañol","xn--PorqunopuedensimplementehablarenEspaol-fmd56a","Spanish"
"TạisaohọkhôngthểchỉnóitiếngViệt","xn--TisaohkhngthchnitingVit-kjcr8268qyxafd2f1b9g","Vietnamese"
